year,month,X1,X2,X3,X4,X5,Y
2011,1,10.4,7.18,20.52,8.58,3.15,8.19
2011,2,11.15,5.41,23.08,8.95,2.15,8.35
2011,3,12.71,3.51,22.59,10.12,2.34,8.94
2011,4,13.76,3.56,23.55,9.04,3.4,8.81
2011,5,12.04,4.07,23.49,4.58,3.12,7.92
2011,6,11.14,6.45,21.35,5.76,2.95,7.31
2011,7,11.35,7.23,20.52,8.46,3.06,6.56
2011,8,9.47,6.03,18.86,9.66,3.23,7.12
2011,9,7.58,3.79,17.9,10.07,2.79,5.23
2011,10,8.07,2.52,16.68,7.67,2.68,3.53
2011,11,7.61,4.08,17.93,6.43,3.18,2.21
2011,12,8.54,6.69,19.55,6.27,2.6,3.55
2012,1,10.37,7.23,22.05,8.94,3.3,6.28
2012,2,9.91,5.48,23.11,10.04,2.25,9.19
2012,3,11.0,4.55,25.45,10.11,3.63,8.39
2012,4,12.28,3.81,22.98,7.86,3.36,8.37
2012,5,11.59,3.97,24.27,6.09,3.26,7.82
2012,6,11.76,6.42,22.53,6.14,3.63,7.05
2012,7,9.54,7.28,23.09,8.46,3.98,7.19
2012,8,7.91,5.69,18.64,9.63,3.66,6.62
2012,9,9.31,4.81,17.56,10.13,2.24,4.91
2012,10,7.63,4.06,17.45,9.66,2.53,2.84
2012,11,8.22,5.3,16.38,7.1,2.86,2.18
2012,12,7.96,7.11,19.12,6.27,3.2,3.37
2013,1,9.92,6.57,20.44,9.08,3.45,6.66
2013,2,11.71,5.96,22.9,9.7,2.84,7.56
2013,3,11.63,5.06,24.24,8.57,3.3,8.98
2013,4,13.21,4.18,26.23,7.56,2.84,8.83
2013,5,12.1,5.11,24.95,5.24,2.92,8.64
2013,6,11.45,8.94,22.37,6.31,2.53,7.41
2013,7,9.97,7.89,20.6,8.31,2.78,7.64
2013,8,10.7,7.36,20.54,11.22,2.57,7.34
2013,9,8.3,5.47,17.68,10.28,2.77,4.86
2013,10,7.15,4.42,20.48,8.18,3.79,2.27
2013,11,9.0,4.76,20.28,7.19,2.8,2.76
2013,12,8.3,7.23,19.78,5.07,4.6,3.73
2014,1,10.71,7.24,20.09,8.52,3.53,6.33
2014,2,10.24,6.68,24.7,10.64,3.39,8.95
2014,3,11.67,4.76,24.38,9.08,2.87,9.06
2014,4,13.24,4.22,26.19,9.19,3.66,8.27
2014,5,13.36,6.49,23.0,6.9,3.03,7.4
2014,6,12.0,5.8,22.95,6.39,3.39,8.17
2014,7,10.54,8.26,22.11,8.86,4.62,7.5
2014,8,9.15,6.01,20.7,11.75,3.3,7.1
2014,9,7.31,4.92,19.15,10.3,3.93,5.39
2014,10,7.6,4.98,19.87,8.62,3.01,2.54
2014,11,8.16,5.29,18.63,6.41,3.35,2.01
2014,12,10.3,6.43,20.71,6.14,4.26,3.63
2015,1,10.99,7.57,22.52,9.06,3.07,6.94
2015,2,10.57,7.53,24.46,9.62,4.3,8.91
2015,3,13.17,4.91,25.81,10.28,3.75,9.49
2015,4,12.96,4.6,24.43,8.18,3.13,9.13
2015,5,12.4,5.43,23.66,7.12,3.73,7.4
2015,6,12.53,6.83,25.43,7.03,3.91,7.96
2015,7,11.63,9.44,23.03,9.27,3.74,7.71
2015,8,10.32,7.66,20.5,9.93,2.65,8.18
2015,9,8.0,4.28,21.75,10.1,3.08,5.76
2015,10,8.11,4.74,19.97,7.88,3.33,3.26
2015,11,8.97,5.15,21.48,6.54,3.43,3.12
2015,12,10.42,7.89,21.52,7.12,3.78,4.42
